ID	Bike_Name	bike_model_year	Bike_Currency	Bike_Price	bike_power_cc	bike_power_watt	bike_type	bike_distance	condition
200	 Bajaj Avenger 150 Street	2016	Rs. 	90000.0	150		Cruiser	65,000 km	Used
201	 Bajaj V15	2016	Rs. 	90000.0	150		Commuter	25,000 km	Used
202	 Honda CB Unicorn 160	2016	Rs. 	90000.0	163		Commuter	0 km	Used
203	 Honda Dio	2016	Rs. 	90000.0	110		Scooter	35,000 km	Used
204	 TVS Apache RTR 180 2V	2016	Rs. 	90000.0	178		Sports	150 km	Used
205	 Suzuki Gixxer 150	2016	Rs. 	90000.0	155		Sports	50,000 km	Used
206	 Yamaha Fascino	2017	Rs. 	90000.0	113		Scooter	12,412 km	Used
207	 Bajaj Pulsar 220F	2012	Rs. 	90000.0	220		Sports	50,000 km	Used
208	 Honda Activa 125	2021	Rs. 	90000.0	124		Scooter	40,738 km	Used
209	 Yamaha FZS V2	2023	Rs. 	90000.0	149		Sports Naked	12 km	Used
210	 Bajaj Pulsar 180	2013	Rs. 	90000.0	179		Sports	56,000 km	Like new
211	 Bajaj Pulsar 220F	2012	Rs. 	90000.0	220		Sports	50,000 km	
212	 Bajaj Pulsar 180	2013	Rs. 	90000.0	179		Sports	56,000 km	Used
213	 Yamaha Alba 106	2020	Rs. 	90000.0				45,000 km	Used
214	 Honda CB Unicorn 160	2016	Rs. 	90000.0	163		Commuter	0 km	Like new
215	 Honda Activa 125	2021	Rs. 	90000.0	124		Scooter	40,738 km	Used
216	 Hartford VR150H	2007	Rs. 	90000.0	150		Commuter	5,000 km	Used
217	 Hero iSmart 110	2020	Rs. 	90000.0	110		Commuter	25,000 km	Used
218	 Hero Super Splendor	2015	Rs. 	92000.0	125		Commuter	50,000 km	Used
219	 Yamaha SZ-RR	2016	Rs. 	93000.0	149		Commuter	0 km	Used
220	 Yamaha SZ-RR	2018	Rs. 	93999.0	149		Commuter	13,632 km	Used
221	 Yamaha Ray ZR Street Rally 113	2017	Rs. 	95000.0	113		Scooter	27,000 km	Used
222	 Hartford VR150H	2013	Rs. 	95000.0	150		Commuter	25,000 km	Used
223	 Honda CB Hornet 160R	2016	Rs. 	95000.0	163		Sports Naked	69,480 km	Used
224	 Honda Aviator	2016	Rs. 	95000.0	110		Scooter	30,000 km	Used
225	 Hartford VR150H	2009	Rs. 	95000.0	150		Commuter	0 km	Used
226	 Yamaha FZS V2	2014	Rs. 	95000.0	149		Sports Naked	0 km	Used
227	 Honda CB Unicorn 160	2015	Rs. 	95000.0	163		Commuter	0 km	Used
228	 Honda CB Shine	2014	Rs. 	95000.0	124		Commuter	23,000 km	Used
229	 Hero Super Splendor	2016	Rs. 	95000.0	125		Commuter	26,000 km	Used
230	 Bajaj Pulsar 220F	2024	Rs. 	95000.0	220		Sports	0 km	Used
231	 Bajaj Pulsar 150	2012	Rs. 	95000.0	150		Sports Naked	79,000 km	Used
232	 TVS Apache RTR 180 2V	2013	Rs. 	95000.0	178		Sports	15,000 km	
233	 Honda CB Shine	2014	Rs. 	95000.0	124		Commuter	23,000 km	Used
234	 Honda CB Unicorn 160	2015	Rs. 	95000.0	163		Commuter	0 km	Used
235	 Suzuki Gixxer 150	2016	Rs. 	98000.0	155		Sports	0 km	Used
236	 Bajaj Pulsar AS 200	2015	Rs. 	98000.0	200		Sports	0 km	Used
237	 Honda CB Trigger	2015	Rs. 	98000.0	150		Commuter	26,000 km	Used
238	 Bajaj Pulsar AS 200	2015	Rs. 	99000.0	200		Sports	44,600 km	Like new
239	 Yamaha Ray Z 113	2019	Rs. 	99000.0	113		Scooter	8,000 km	Used
240	 Honda Activa 125	2014	Rs. 	99000.0	124		Scooter	55,000 km	Used
241	 Suzuki Gixxer 150	2016	Rs. 	99000.0	155		Sports	50,000 km	Used
242	 Yamaha Fascino 113	2017	Rs. 	99000.0	113		Scooter	29,000 km	Used
243	 Suzuki Gixxer 150	2016	Rs. 	99999.0	155		Sports	32,000 km	Used
244	 Honda Aviator	2017	Rs. 	100000.0	110		Scooter	3,400 km	Used
245	 Suzuki Gixxer 150	2018	Rs. 	100000.0	155		Sports	70,000 km	Used
246	 Bajaj Pulsar NS 200	2014	Rs. 	100000.0	200		Sports Naked	34,000 km	Used
247	 Suzuki GS150R	2016	Rs. 	100000.0	149		Commuter	5,000 km	Used
248	 TVS Apache RTR 160 4V	2018	Rs. 	100000.0	160		Sports	50,000 km	Used
249	 Bajaj Pulsar 220F	2012	Rs. 	100000.0	220		Sports	50,000 km	Used
250	 Bajaj Pulsar 220F	2013	Rs. 	100000.0	220		Sports	88,000 km	Used
251	 TVS Apache RTR 160 2V	2017	Rs. 	100000.0	160		Sports	35,500 km	Used
252	 Bajaj Pulsar NS 200	2016	Rs. 	100000.0	200		Sports Naked	40,000 km	Used
253	 Honda CB Hornet 160R	2017	Rs. 	100000.0	163		Sports Naked	50,000 km	
254	 TVS Apache RTR 160 2V	2013	Rs. 	100000.0	160		Sports	52,000 km	Used
255	 TVS Apache RTR 160 2V	2012	Rs. 	100000.0	160		Sports	55,000 km	Like new
256	 TVS Apache RTR 160 2V	2017	Rs. 	100000.0	160		Sports	35,500 km	Used
257	 Bajaj Pulsar NS 160	2017	Rs. 	100000.0	160		Sports Naked	27,000 km	Used
258	 Hero Super Splendor	2012	Rs. 	100000.0	125		Commuter	50,000 km	Used
259	 Suzuki GS150R	2016	Rs. 	100000.0	149		Commuter	5,000 km	Used
260	 Bajaj Pulsar NS 200	2014	Rs. 	100000.0	200		Sports Naked	34,000 km	Used
261	 Bajaj Pulsar 220F	2013	Rs. 	100000.0	220		Sports	88,000 km	Used
262	 Honda Aviator	2017	Rs. 	100000.0	110		Scooter	3,400 km	Used
263	 Bajaj Pulsar 220F	2015	Rs. 	100000.0	220		Sports	10,000 km	Used
264	 Suzuki Gixxer 150	2018	Rs. 	100000.0	155		Sports	70,000 km	Used
265	 TVS Apache RTR 160 4V	2018	Rs. 	100000.0	160		Sports	50,000 km	Used
266	 UM Renegade Commando	2016	Rs. 	100000.0				35,000 km	Used
267	 Bajaj Avenger 150 Street	2016	Rs. 	100000.0	150		Cruiser	40,000 km	Used
268	 TVS Dazz	2017	Rs. 	100000.0	110		Scooter	1,568 km	Used
269	 Aprilia SR 125	2021	Rs. 	100000.0	125		Scooter	20,000 km	Used
270	 Hero XTreme 200R	2019	Rs. 	101000.0	199		Commuter	32,000 km	Used
271	 Bajaj Pulsar 220F	2012	Rs. 	104999.0	220		Sports	45,000 km	Used
272	 Bajaj Pulsar NS 200	2016	Rs. 	105000.0	200		Sports Naked	48,000 km	Used
273	 Bajaj Pulsar 150	2016	Rs. 	105000.0	150		Sports Naked	0 km	Used
274	 Honda Dio	2016	Rs. 	105000.0	110		Scooter	45,000 km	
275	 Benelli TNT 15	2019	Rs. 	105000.0	148		Commuter	0 km	Used
276	 UM Renegade Commando	2015	Rs. 	105000.0				30,000 km	Used
277	 Yamaha Ray ZR	2018	Rs. 	105000.0	113		Scooter	30,000 km	Used
278	 Bajaj Pulsar 220F	2013	Rs. 	105000.0	220		Sports	30,000 km	Used
279	 Suzuki Gixxer 150	2017	Rs. 	105000.0	155		Sports	30,000 km	Used
280	 Bajaj Pulsar NS 200	2016	Rs. 	105000.0	200		Sports Naked	48,000 km	Used
281	 Yamaha SZ-RR	2015	Rs. 	105000.0	149		Commuter	50,000 km	Used
282	 Vespa LX	2014	Rs. 	105000.0	125		Scooter	23,900 km	Used
283	 Yamaha Ray Z 113	2019	Rs. 	105000.0	113		Scooter	13,000 km	Used
284	 Yamaha SZ-RR	2017	Rs. 	107000.0	149		Commuter	30,000 km	Used
285	 Suzuki Gixxer 150	2016	Rs. 	108000.0	155		Sports	38,000 km	Like new
286	 Honda CB Hornet 160R	2016	Rs. 	109999.0	163		Sports Naked	22,000 km	Used
287	 Bajaj Pulsar 150	2013	Rs. 	110000.0	150		Sports Naked	65,000 km	Used
288	 Bajaj Pulsar NS 160	2017	Rs. 	110000.0	160		Sports Naked	47,011 km	Used
289	 Hartford VR150H	2014	Rs. 	110000.0	150		Commuter	50,000 km	Used
290	 TVS Apache RTR 200 4V	2017	Rs. 	110000.0	198		Sports	38,640 km	Used
291	 Hero Hunk 150R	2021	Rs. 	110000.0	150		Commuter	25,000 km	Used
292	 Honda CB Unicorn 160	2016	Rs. 	110000.0	163		Commuter	23,400 km	Used
293	 TVS Ntorq 125 Disc	2018	Rs. 	110000.0	125		Scooter	70,000 km	Used
294	 Mitsuzu Model lp E	2023	Rs. 	110000.0		1,500 	Scooter	5,000 km	Used
295	 TVS Ntorq 125 Disc	2018	Rs. 	110000.0	125		Scooter	70,000 km	
296	 Hero Hunk 150R	2021	Rs. 	110000.0	150		Commuter	25,000 km	Used
297	 Bajaj Pulsar 220F	2016	Rs. 	110000.0	220		Sports	37,000 km	Used
298	 TVS Jupiter Classic	2023	Rs. 	110000.0	110		Scooter	20,000 km	Like new
299	 Bajaj Pulsar NS 160	2017	Rs. 	110000.0	160		Sports Naked	47,011 km	Used
300	 Bajaj Pulsar NS 200	2016	Rs. 	110000.0	200		Sports Naked	43,500 km	Used
301	 Honda Aviator	2018	Rs. 	110000.0	110		Scooter	25,000 km	Used
